Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label
spotify:track:sample031,Amber Relay 3,Quiet Circuits,Mara Vale,2020-09-21,308000,34,false,,2026-01-04T12:00:00Z,"organic house,melodic house",Sample Records
spotify:track:sample032,Harbour Static 3,Blue Rooms,North Meridian,2014-06-08,325000,28,false,,2026-01-05T12:00:00Z,"progressive house,deep house",Sample Records
spotify:track:sample033,Afterimage Market 3,Night Index,Sable Drift,2023-04-16,342000,23,false,,2026-01-06T12:00:00Z,"melodic techno,organic house",Sample Records
spotify:track:sample034,Glass Courtyard 3,Pale Signals,Elias Venn,2018-11-04,359000,33,false,,2026-01-07T12:00:00Z,"downtempo,trip hop",Sample Records
spotify:track:sample035,Soft Machines 3,Interior Weather,The Low Archive;Guest Signal,2011-02-10,376000,16,false,,2026-01-08T12:00:00Z,"trip hop,idm,downtempo",Sample Records
spotify:track:sample036,Heat Map 3,Ember Systems,Juniper Static,2022-08-28,240000,26,false,,2026-01-09T12:00:00Z,"melodic house,progressive house",Sample Records
spotify:track:sample037,Subterranean Light 3,Below The City,Orson Vale,2000-05-19,257000,14,false,,2026-01-10T12:00:00Z,"deep house,progressive house",Sample Records
spotify:track:sample038,Signal Bath 3,Slow Transit,Mica Raye,2019-01-27,274000,41,false,,2026-01-11T12:00:00Z,"organic house,melodic house",Sample Records
spotify:track:sample039,Copper Distance 3,Late Ledger,Nocturne Bureau,2021-10-11,291000,26,false,,2026-01-12T12:00:00Z,"progressive house,melodic techno",Sample Records
spotify:track:sample040,Quiet Antenna 3,Small Hours,Hollow Atlas,2013-12-02,308000,17,false,,2026-01-13T12:00:00Z,"dub techno,minimal techno",Sample Records
spotify:track:sample041,Basin Theory 3,Wet Geometry,Aster Fold,2017-07-31,325000,32,false,,2026-01-14T12:00:00Z,"lo-fi house,jazz house",Sample Records
spotify:track:sample042,Smoke Calendar 3,Days Under Glass,Vera North;Guest Signal,2024-02-18,342000,21,false,,2026-01-15T12:00:00Z,"organic house,downtempo",Sample Records
spotify:track:sample043,Civic Mirage 3,Side Streets,Perrenial,2006-09-03,359000,30,false,,2026-01-16T12:00:00Z,"nu disco,disco house",Sample Records
spotify:track:sample044,Low Ceiling 3,Dusk Manual,The Orchard Field,2015-05-24,376000,19,false,,2026-01-17T12:00:00Z,"downtempo,lo-fi house",Sample Records
spotify:track:sample045,Midnight Exchange 4,Low Light Dispatch,Cinder Room,2017-03-14,240000,40,false,,2026-01-18T12:00:00Z,"organic house,deep house,downtempo",Sample Records
spotify:track:sample046,Amber Relay 4,Quiet Circuits,Mara Vale,2021-09-21,257000,34,false,,2026-01-19T12:00:00Z,"organic house,melodic house",Sample Records
spotify:track:sample047,Harbour Static 4,Blue Rooms,North Meridian,2015-06-08,274000,28,false,,2026-01-20T12:00:00Z,"progressive house,deep house",Sample Records
